state,district,crop,gross_cropped_area_ha,irrigated_pct
Uttar Pradesh,Kanpur,Wheat,35800.4,50.3
Madhya Pradesh,Gwalior,Cotton,28868.43,76.2
Karnataka,Shimoga,Potato,2310.26,67.3
Gujarat,Ahmedabad,Tomato,35604.99,49.6
Haryana,Hisar,Apple,6132.61,90.2
Rajasthan,Udaipur,Grapes,18242.94,84.9
Goa,Verna,Onion,44882.39,35.7
Tamil Nadu,Tirupur,Soybean,17390.64,90.3
Maharashtra,Nashik,Rice,43531.49,61.0
Punjab,Amritsar,Maize,4315.33,88.0
Uttar Pradesh,Kanpur,Wheat,30151.01,59.5
Madhya Pradesh,Gwalior,Cotton,23685.58,75.2
Karnataka,Shimoga,Potato,45806.46,90.9
Gujarat,Ahmedabad,Tomato,2718.12,34.8
Haryana,Hisar,Apple,25350.18,82.1
Rajasthan,Udaipur,Grapes,37839.76,89.4
Goa,Verna,Onion,29126.14,53.1
Tamil Nadu,Tirupur,Soybean,29791.67,94.3
Maharashtra,Nashik,Rice,10967.07,60.3
Punjab,Amritsar,Maize,29048.63,54.7
Uttar Pradesh,Kanpur,Wheat,5569.18,90.4
Madhya Pradesh,Gwalior,Cotton,44903.84,58.8
Karnataka,Shimoga,Potato,27646.5,52.2
Gujarat,Ahmedabad,Tomato,27465.7,78.8
Haryana,Hisar,Apple,3458.74,35.8
Rajasthan,Udaipur,Grapes,19847.31,36.6
Goa,Verna,Onion,1795.97,48.4
Tamil Nadu,Tirupur,Soybean,33011.07,57.1
Maharashtra,Nashik,Rice,12353.5,63.9
Punjab,Amritsar,Maize,45098.69,75.0
Uttar Pradesh,Kanpur,Wheat,26858.42,84.7
Madhya Pradesh,Gwalior,Cotton,17179.54,80.6
Karnataka,Shimoga,Potato,43033.18,76.8
Gujarat,Ahmedabad,Tomato,12429.46,74.8
Haryana,Hisar,Apple,14814.19,39.6
Rajasthan,Udaipur,Grapes,12657.33,65.8
Goa,Verna,Onion,5017.65,51.6
Tamil Nadu,Tirupur,Soybean,8068.29,41.9
Maharashtra,Nashik,Rice,25708.93,53.8
Punjab,Amritsar,Maize,42291.28,88.9
Uttar Pradesh,Kanpur,Wheat,47133.63,63.3
Madhya Pradesh,Gwalior,Cotton,19400.22,85.1
Karnataka,Shimoga,Potato,8609.25,53.4
Gujarat,Ahmedabad,Tomato,40181.05,82.9
Haryana,Hisar,Apple,3791.7,48.9
Rajasthan,Udaipur,Grapes,9653.88,81.9
Goa,Verna,Onion,47507.17,86.1
Tamil Nadu,Tirupur,Soybean,5638.73,37.0
Maharashtra,Nashik,Rice,20927.59,41.0
Punjab,Amritsar,Maize,11101.67,38.5
Uttar Pradesh,Kanpur,Wheat,32787.17,59.1
Madhya Pradesh,Gwalior,Cotton,3887.03,62.6
Karnataka,Shimoga,Potato,27969.57,58.5
Gujarat,Ahmedabad,Tomato,30560.46,37.0
Haryana,Hisar,Apple,38547.38,81.3
Rajasthan,Udaipur,Grapes,43469.9,75.6
Goa,Verna,Onion,37636.68,63.3
Tamil Nadu,Tirupur,Soybean,9462.72,45.8
Maharashtra,Nashik,Rice,11977.81,39.2
Punjab,Amritsar,Maize,32231.91,68.5
Uttar Pradesh,Kanpur,Wheat,45406.37,81.6
Madhya Pradesh,Gwalior,Cotton,27827.5,78.7
Karnataka,Shimoga,Potato,34026.93,70.8
Gujarat,Ahmedabad,Tomato,2184.03,52.3
Haryana,Hisar,Apple,3656.58,84.3
Rajasthan,Udaipur,Grapes,36183.16,36.1
Goa,Verna,Onion,9583.06,45.7
Tamil Nadu,Tirupur,Soybean,38631.8,94.2
Maharashtra,Nashik,Rice,28584.03,88.6
Punjab,Amritsar,Maize,18125.29,76.3
Uttar Pradesh,Kanpur,Wheat,34674.98,88.4
Madhya Pradesh,Gwalior,Cotton,32577.48,45.6
Karnataka,Shimoga,Potato,39990.2,71.2
Gujarat,Ahmedabad,Tomato,9604.26,82.7
Haryana,Hisar,Apple,16780.77,69.5
Rajasthan,Udaipur,Grapes,42126.23,34.0
Goa,Verna,Onion,42453.6,86.6
Tamil Nadu,Tirupur,Soybean,20446.5,31.8
Maharashtra,Nashik,Rice,2812.34,74.2
Punjab,Amritsar,Maize,15947.2,90.9
Uttar Pradesh,Kanpur,Wheat,47161.69,32.2
Madhya Pradesh,Gwalior,Cotton,34067.11,52.1
Karnataka,Shimoga,Potato,21563.17,89.0
Gujarat,Ahmedabad,Tomato,11468.53,65.6
Haryana,Hisar,Apple,46499.67,68.7
Rajasthan,Udaipur,Grapes,16697.67,41.8
Goa,Verna,Onion,29246.16,38.8
Tamil Nadu,Tirupur,Soybean,7557.3,48.4
Maharashtra,Nashik,Rice,16105.79,42.2
Punjab,Amritsar,Maize,5329.35,50.5
Uttar Pradesh,Kanpur,Wheat,49165.11,50.1
Madhya Pradesh,Gwalior,Cotton,22346.93,71.4
Karnataka,Shimoga,Potato,32824.46,80.1
Gujarat,Ahmedabad,Tomato,25531.34,71.9
Haryana,Hisar,Apple,48801.26,91.7
Rajasthan,Udaipur,Grapes,46096.5,93.3
Goa,Verna,Onion,36478.34,93.1
Tamil Nadu,Tirupur,Soybean,31771.53,63.0
Maharashtra,Nashik,Rice,8494.67,81.5
Punjab,Amritsar,Maize,26000.75,91.7
Uttar Pradesh,Kanpur,Wheat,9227.38,64.2
Madhya Pradesh,Gwalior,Cotton,36493.31,54.5
Karnataka,Shimoga,Potato,6620.45,39.3
Gujarat,Ahmedabad,Tomato,45021.62,44.0
Haryana,Hisar,Apple,30525.06,45.5
Rajasthan,Udaipur,Grapes,33210.68,69.3
Goa,Verna,Onion,48921.78,82.8
Tamil Nadu,Tirupur,Soybean,18650.82,50.6
Maharashtra,Nashik,Rice,36615.56,74.2
Punjab,Amritsar,Maize,13875.94,65.1
Uttar Pradesh,Kanpur,Wheat,10097.36,33.2
Madhya Pradesh,Gwalior,Cotton,6941.61,56.6
Karnataka,Shimoga,Potato,48098.84,48.9
Gujarat,Ahmedabad,Tomato,40910.81,81.7
Haryana,Hisar,Apple,43562.39,81.1
Rajasthan,Udaipur,Grapes,43930.8,53.7
Goa,Verna,Onion,6279.08,33.7
Tamil Nadu,Tirupur,Soybean,21873.71,51.0
Maharashtra,Nashik,Rice,46294.43,85.4
Punjab,Amritsar,Maize,4839.11,32.0
Uttar Pradesh,Kanpur,Wheat,42971.68,45.8
Madhya Pradesh,Gwalior,Cotton,6230.76,75.2
Karnataka,Shimoga,Potato,25549.43,43.8
Gujarat,Ahmedabad,Tomato,30297.61,55.0
Haryana,Hisar,Apple,9907.34,66.4
Rajasthan,Udaipur,Grapes,45537.66,40.9
Goa,Verna,Onion,41289.43,53.3
Tamil Nadu,Tirupur,Soybean,1774.85,89.2
Maharashtra,Nashik,Rice,37087.31,43.4
Punjab,Amritsar,Maize,39334.52,66.4
Uttar Pradesh,Kanpur,Wheat,28353.31,63.6
Madhya Pradesh,Gwalior,Cotton,28739.41,69.8
Karnataka,Shimoga,Potato,39939.94,34.2
Gujarat,Ahmedabad,Tomato,32140.03,92.0
Haryana,Hisar,Apple,36394.15,44.5
Rajasthan,Udaipur,Grapes,18852.34,71.8
Goa,Verna,Onion,26163.77,38.0
Tamil Nadu,Tirupur,Soybean,27447.11,42.0
Maharashtra,Nashik,Rice,17487.18,31.4
Punjab,Amritsar,Maize,23298.55,42.2
Uttar Pradesh,Kanpur,Wheat,21124.28,75.9
Madhya Pradesh,Gwalior,Cotton,49063.99,47.5
Karnataka,Shimoga,Potato,41193.12,81.9
Gujarat,Ahmedabad,Tomato,33988.83,67.3
Haryana,Hisar,Apple,35127.18,52.8
Rajasthan,Udaipur,Grapes,34022.02,73.9
Goa,Verna,Onion,29352.61,54.8
Tamil Nadu,Tirupur,Soybean,24997.62,54.8
Maharashtra,Nashik,Rice,47142.01,65.6
Punjab,Amritsar,Maize,19023.06,69.0
Uttar Pradesh,Kanpur,Wheat,9125.66,88.8
Madhya Pradesh,Gwalior,Cotton,29032.64,45.0
Karnataka,Shimoga,Potato,31503.49,88.1
Gujarat,Ahmedabad,Tomato,36046.72,71.2
Haryana,Hisar,Apple,13249.13,36.0
Rajasthan,Udaipur,Grapes,2634.26,94.1
Goa,Verna,Onion,10119.87,76.7
Tamil Nadu,Tirupur,Soybean,1273.12,80.1
Maharashtra,Nashik,Rice,37827.1,92.8
Punjab,Amritsar,Maize,6943.75,90.2
Uttar Pradesh,Kanpur,Wheat,32138.6,65.5
Madhya Pradesh,Gwalior,Cotton,36152.16,75.1
Karnataka,Shimoga,Potato,5876.38,91.0
Gujarat,Ahmedabad,Tomato,7410.54,75.2
Haryana,Hisar,Apple,10663.13,41.7
Rajasthan,Udaipur,Grapes,20618.52,74.1
Goa,Verna,Onion,23589.22,83.6
Tamil Nadu,Tirupur,Soybean,23752.68,49.4
Maharashtra,Nashik,Rice,30610.85,52.8
Punjab,Amritsar,Maize,39561.83,57.7
Uttar Pradesh,Kanpur,Wheat,40388.65,76.4
Madhya Pradesh,Gwalior,Cotton,25049.29,80.6
Karnataka,Shimoga,Potato,12743.06,42.0
Gujarat,Ahmedabad,Tomato,47347.61,53.7
Haryana,Hisar,Apple,31167.82,66.1
Rajasthan,Udaipur,Grapes,11374.06,64.0
Goa,Verna,Onion,8175.25,51.5
Tamil Nadu,Tirupur,Soybean,8668.71,78.2
Maharashtra,Nashik,Rice,2640.41,72.2
Punjab,Amritsar,Maize,45646.89,89.2
Uttar Pradesh,Kanpur,Wheat,47234.89,48.0
Madhya Pradesh,Gwalior,Cotton,11187.57,77.6
Karnataka,Shimoga,Potato,28730.36,37.0
Gujarat,Ahmedabad,Tomato,3722.31,70.7
Haryana,Hisar,Apple,23944.69,79.3
Rajasthan,Udaipur,Grapes,47717.34,57.7
Goa,Verna,Onion,47636.76,93.9
Tamil Nadu,Tirupur,Soybean,5326.07,63.1
Maharashtra,Nashik,Rice,29114.5,72.2
Punjab,Amritsar,Maize,19259.3,93.4
Uttar Pradesh,Kanpur,Wheat,10761.36,87.9
Madhya Pradesh,Gwalior,Cotton,17417.94,39.7
Karnataka,Shimoga,Potato,4356.77,87.4
Gujarat,Ahmedabad,Tomato,2383.77,86.6
Haryana,Hisar,Apple,36735.6,94.7
Rajasthan,Udaipur,Grapes,41230.23,94.0
Goa,Verna,Onion,47593.49,71.0
Tamil Nadu,Tirupur,Soybean,8450.26,72.7
Maharashtra,Nashik,Rice,5274.98,37.1
Punjab,Amritsar,Maize,40156.82,70.7
Uttar Pradesh,Kanpur,Wheat,32093.22,78.7
Madhya Pradesh,Gwalior,Cotton,43491.44,86.8
Karnataka,Shimoga,Potato,37063.56,44.8
Gujarat,Ahmedabad,Tomato,22743.27,72.0
Haryana,Hisar,Apple,38681.93,75.4
Rajasthan,Udaipur,Grapes,17584.43,37.5
Goa,Verna,Onion,17194.41,80.4
Tamil Nadu,Tirupur,Soybean,15665.0,47.9
Maharashtra,Nashik,Rice,14115.36,51.8
Punjab,Amritsar,Maize,47413.13,66.8
Uttar Pradesh,Kanpur,Wheat,10310.6,75.5
Madhya Pradesh,Gwalior,Cotton,47654.17,75.8
Karnataka,Shimoga,Potato,12625.86,56.1
Gujarat,Ahmedabad,Tomato,40036.03,64.6
Haryana,Hisar,Apple,39237.02,31.9
Rajasthan,Udaipur,Grapes,1044.54,35.4
Goa,Verna,Onion,18601.33,89.0
Tamil Nadu,Tirupur,Soybean,38192.77,76.5
Maharashtra,Nashik,Rice,6573.22,32.4
Punjab,Amritsar,Maize,48356.2,49.2
Uttar Pradesh,Kanpur,Wheat,42936.39,51.7
Madhya Pradesh,Gwalior,Cotton,46109.97,71.4
Karnataka,Shimoga,Potato,31996.43,60.4
Gujarat,Ahmedabad,Tomato,16552.41,81.5
Haryana,Hisar,Apple,36463.22,38.9
Rajasthan,Udaipur,Grapes,29999.72,91.2
Goa,Verna,Onion,8164.86,73.4
Tamil Nadu,Tirupur,Soybean,23758.7,54.3
Maharashtra,Nashik,Rice,14562.22,67.0
Punjab,Amritsar,Maize,37032.33,31.3
Uttar Pradesh,Kanpur,Wheat,23054.57,89.5
Madhya Pradesh,Gwalior,Cotton,22018.56,93.2
Karnataka,Shimoga,Potato,36592.85,64.4
Gujarat,Ahmedabad,Tomato,44374.7,88.3
Haryana,Hisar,Apple,41039.33,57.8
Rajasthan,Udaipur,Grapes,24654.01,54.3
Goa,Verna,Onion,27511.73,78.4
Tamil Nadu,Tirupur,Soybean,38903.78,59.6
Maharashtra,Nashik,Rice,3238.46,90.2
Punjab,Amritsar,Maize,11368.19,81.8
Uttar Pradesh,Kanpur,Wheat,16214.95,45.8
Madhya Pradesh,Gwalior,Cotton,12817.21,50.3
Karnataka,Shimoga,Potato,23767.72,75.0
Gujarat,Ahmedabad,Tomato,27135.11,77.9
Haryana,Hisar,Apple,32795.64,39.0
Rajasthan,Udaipur,Grapes,40766.71,87.3
Goa,Verna,Onion,19810.83,51.4
Tamil Nadu,Tirupur,Soybean,31145.34,60.8
Maharashtra,Nashik,Rice,21742.4,89.2
Punjab,Amritsar,Maize,21545.05,43.0
Uttar Pradesh,Kanpur,Wheat,16085.58,67.0
Madhya Pradesh,Gwalior,Cotton,43078.49,91.4
Karnataka,Shimoga,Potato,43429.21,50.6
Gujarat,Ahmedabad,Tomato,27135.15,35.4
Haryana,Hisar,Apple,46718.77,52.8
Rajasthan,Udaipur,Grapes,7204.2,82.6
Goa,Verna,Onion,49653.83,33.4
Tamil Nadu,Tirupur,Soybean,45856.01,54.8
Maharashtra,Nashik,Rice,1953.19,91.1
Punjab,Amritsar,Maize,48596.82,80.7
Uttar Pradesh,Kanpur,Wheat,37693.57,36.3
Madhya Pradesh,Gwalior,Cotton,40906.21,90.6
Karnataka,Shimoga,Potato,5417.15,90.8
Gujarat,Ahmedabad,Tomato,6681.75,77.2
Haryana,Hisar,Apple,34597.56,71.8
Rajasthan,Udaipur,Grapes,25020.28,52.1
Goa,Verna,Onion,46173.29,72.1
Tamil Nadu,Tirupur,Soybean,32309.69,31.0
Maharashtra,Nashik,Rice,21551.36,50.3
Punjab,Amritsar,Maize,34927.42,39.6
Uttar Pradesh,Kanpur,Wheat,15954.11,86.7
Madhya Pradesh,Gwalior,Cotton,9464.47,60.5
Karnataka,Shimoga,Potato,44394.32,63.7
Gujarat,Ahmedabad,Tomato,45937.8,80.2
Haryana,Hisar,Apple,19125.41,39.3
Rajasthan,Udaipur,Grapes,32554.53,32.5
Goa,Verna,Onion,19703.12,89.1
Tamil Nadu,Tirupur,Soybean,18020.03,34.3
Maharashtra,Nashik,Rice,10621.13,84.4
Punjab,Amritsar,Maize,2444.82,48.5
Uttar Pradesh,Kanpur,Wheat,25008.02,82.7
Madhya Pradesh,Gwalior,Cotton,41820.95,68.0
Karnataka,Shimoga,Potato,25233.09,36.5
Gujarat,Ahmedabad,Tomato,16645.42,69.8
Haryana,Hisar,Apple,41599.16,66.1
Rajasthan,Udaipur,Grapes,26190.17,78.5
Goa,Verna,Onion,47490.57,30.1
Tamil Nadu,Tirupur,Soybean,22279.06,50.2
Maharashtra,Nashik,Rice,35531.09,66.5
Punjab,Amritsar,Maize,14937.16,58.9
Uttar Pradesh,Kanpur,Wheat,4710.87,31.4
Madhya Pradesh,Gwalior,Cotton,2740.6,87.1
Karnataka,Shimoga,Potato,11374.02,91.8
Gujarat,Ahmedabad,Tomato,29916.79,57.6
Haryana,Hisar,Apple,2144.85,38.8
Rajasthan,Udaipur,Grapes,22768.69,39.0
Goa,Verna,Onion,41300.64,70.6
Tamil Nadu,Tirupur,Soybean,1006.43,32.3
Maharashtra,Nashik,Rice,40073.81,65.8
Punjab,Amritsar,Maize,14133.08,30.2
Uttar Pradesh,Kanpur,Wheat,40934.28,65.9
Madhya Pradesh,Gwalior,Cotton,28980.52,53.8
Karnataka,Shimoga,Potato,15894.11,68.7
Gujarat,Ahmedabad,Tomato,28724.94,85.4
Haryana,Hisar,Apple,7042.27,75.8
Rajasthan,Udaipur,Grapes,2210.97,52.7
Goa,Verna,Onion,22102.49,69.1
Tamil Nadu,Tirupur,Soybean,8215.9,30.3
Maharashtra,Nashik,Rice,26550.69,31.3
Punjab,Amritsar,Maize,27813.66,42.3
Uttar Pradesh,Kanpur,Wheat,6155.5,45.6
Madhya Pradesh,Gwalior,Cotton,32337.67,75.4
Karnataka,Shimoga,Potato,20007.12,92.9
Gujarat,Ahmedabad,Tomato,34388.79,80.7
Haryana,Hisar,Apple,20414.13,61.3
Rajasthan,Udaipur,Grapes,31419.1,55.2
Goa,Verna,Onion,38333.54,66.4
Tamil Nadu,Tirupur,Soybean,15160.97,94.4
Maharashtra,Nashik,Rice,25027.74,69.1
Punjab,Amritsar,Maize,49421.26,93.5
Uttar Pradesh,Kanpur,Wheat,22026.62,32.8
Madhya Pradesh,Gwalior,Cotton,49196.18,31.7
Karnataka,Shimoga,Potato,18589.46,36.4
Gujarat,Ahmedabad,Tomato,6060.7,78.5
Haryana,Hisar,Apple,18191.65,68.1
Rajasthan,Udaipur,Grapes,41384.61,42.9
Goa,Verna,Onion,18931.58,94.3
Tamil Nadu,Tirupur,Soybean,12949.1,40.9
Maharashtra,Nashik,Rice,11268.08,42.9
Punjab,Amritsar,Maize,24778.71,49.7
Uttar Pradesh,Kanpur,Wheat,13736.06,49.5
Madhya Pradesh,Gwalior,Cotton,24729.11,71.0
Karnataka,Shimoga,Potato,19724.04,30.1
Gujarat,Ahmedabad,Tomato,1233.68,89.8
Haryana,Hisar,Apple,33941.67,55.8
Rajasthan,Udaipur,Grapes,25902.36,34.1
Goa,Verna,Onion,22188.62,39.3
Tamil Nadu,Tirupur,Soybean,31454.66,94.3
Maharashtra,Nashik,Rice,20622.5,43.2
Punjab,Amritsar,Maize,30049.83,54.3
Uttar Pradesh,Kanpur,Wheat,30342.93,31.5
Madhya Pradesh,Gwalior,Cotton,45726.69,90.3
Karnataka,Shimoga,Potato,48454.13,66.3
Gujarat,Ahmedabad,Tomato,18856.34,30.4
Haryana,Hisar,Apple,13679.34,53.6
Rajasthan,Udaipur,Grapes,43188.12,92.2
Goa,Verna,Onion,21600.49,53.2
Tamil Nadu,Tirupur,Soybean,13686.66,31.4
Maharashtra,Nashik,Rice,36451.68,31.3
Punjab,Amritsar,Maize,3338.52,67.3
Uttar Pradesh,Kanpur,Wheat,24344.26,82.8
Madhya Pradesh,Gwalior,Cotton,41361.85,78.1
Karnataka,Shimoga,Potato,8586.12,64.8
Gujarat,Ahmedabad,Tomato,35759.37,52.2
Haryana,Hisar,Apple,4925.2,84.6
Rajasthan,Udaipur,Grapes,43887.48,80.4
Goa,Verna,Onion,47431.17,59.1
Tamil Nadu,Tirupur,Soybean,9584.78,58.2
Maharashtra,Nashik,Rice,24699.58,68.8
Punjab,Amritsar,Maize,27338.85,61.6
Uttar Pradesh,Kanpur,Wheat,15270.79,84.1
Madhya Pradesh,Gwalior,Cotton,25019.43,79.1
Karnataka,Shimoga,Potato,7394.16,42.4
Gujarat,Ahmedabad,Tomato,23060.96,90.9
Haryana,Hisar,Apple,40809.22,85.6
Rajasthan,Udaipur,Grapes,2583.08,64.1
Goa,Verna,Onion,42114.39,54.3
Tamil Nadu,Tirupur,Soybean,18400.94,47.5
Maharashtra,Nashik,Rice,25940.32,37.2
Punjab,Amritsar,Maize,33013.2,77.7
Uttar Pradesh,Kanpur,Wheat,27768.44,42.8
Madhya Pradesh,Gwalior,Cotton,10860.42,56.3
Karnataka,Shimoga,Potato,6968.17,41.6
Gujarat,Ahmedabad,Tomato,26268.74,70.3
Haryana,Hisar,Apple,37442.3,58.8
Rajasthan,Udaipur,Grapes,1333.67,38.6
Goa,Verna,Onion,21048.21,51.9
Tamil Nadu,Tirupur,Soybean,23284.95,57.7
Maharashtra,Nashik,Rice,49401.28,93.0
Punjab,Amritsar,Maize,30078.01,49.5
Uttar Pradesh,Kanpur,Wheat,5530.28,63.9
Madhya Pradesh,Gwalior,Cotton,43603.63,55.1
Karnataka,Shimoga,Potato,45038.06,60.0
Gujarat,Ahmedabad,Tomato,4702.14,78.8
Haryana,Hisar,Apple,32121.97,58.3
Rajasthan,Udaipur,Grapes,6411.55,61.3
Goa,Verna,Onion,6224.17,80.3
Tamil Nadu,Tirupur,Soybean,36757.07,64.3
Maharashtra,Nashik,Rice,42428.01,45.2
Punjab,Amritsar,Maize,29541.48,86.0
Uttar Pradesh,Kanpur,Wheat,45813.54,52.6
Madhya Pradesh,Gwalior,Cotton,18309.61,94.2
Karnataka,Shimoga,Potato,42536.41,65.6
Gujarat,Ahmedabad,Tomato,7784.6,40.0
Haryana,Hisar,Apple,43837.42,81.8
Rajasthan,Udaipur,Grapes,42644.3,67.3
Goa,Verna,Onion,33651.25,79.1
Tamil Nadu,Tirupur,Soybean,47299.01,55.9
Maharashtra,Nashik,Rice,6129.55,56.4
Punjab,Amritsar,Maize,22581.33,46.5
Uttar Pradesh,Kanpur,Wheat,26135.6,51.0
Madhya Pradesh,Gwalior,Cotton,29870.26,36.2
Karnataka,Shimoga,Potato,16944.15,66.7
Gujarat,Ahmedabad,Tomato,5970.67,37.8
Haryana,Hisar,Apple,5343.59,47.9
Rajasthan,Udaipur,Grapes,12240.87,93.1
Goa,Verna,Onion,17015.24,51.8
Tamil Nadu,Tirupur,Soybean,20472.33,31.2
Maharashtra,Nashik,Rice,47997.37,63.9
Punjab,Amritsar,Maize,42122.2,36.7
Uttar Pradesh,Kanpur,Wheat,5007.82,66.3
Madhya Pradesh,Gwalior,Cotton,12679.58,51.9
Karnataka,Shimoga,Potato,43032.36,91.3
Gujarat,Ahmedabad,Tomato,36289.2,38.1
Haryana,Hisar,Apple,5196.82,37.7
Rajasthan,Udaipur,Grapes,43786.9,77.9
Goa,Verna,Onion,19570.38,41.3
Tamil Nadu,Tirupur,Soybean,16508.15,36.1
Maharashtra,Nashik,Rice,33719.37,83.3
Punjab,Amritsar,Maize,40315.17,40.6
Uttar Pradesh,Kanpur,Wheat,9468.7,70.0
Madhya Pradesh,Gwalior,Cotton,12909.56,39.5
Karnataka,Shimoga,Potato,12203.81,88.0
Gujarat,Ahmedabad,Tomato,18183.88,88.9
Haryana,Hisar,Apple,1840.06,31.1
Rajasthan,Udaipur,Grapes,13809.65,37.3
Goa,Verna,Onion,11555.72,34.6
Tamil Nadu,Tirupur,Soybean,41402.17,79.4
Maharashtra,Nashik,Rice,15484.69,63.3
Punjab,Amritsar,Maize,23335.27,73.0
Uttar Pradesh,Kanpur,Wheat,10425.64,55.5
Madhya Pradesh,Gwalior,Cotton,16608.33,69.0
Karnataka,Shimoga,Potato,1713.74,84.5
Gujarat,Ahmedabad,Tomato,24371.59,36.8
Haryana,Hisar,Apple,27776.88,84.9
Rajasthan,Udaipur,Grapes,45991.3,45.7
Goa,Verna,Onion,49367.07,77.7
Tamil Nadu,Tirupur,Soybean,38999.59,85.9
Maharashtra,Nashik,Rice,18898.02,46.6
Punjab,Amritsar,Maize,40402.49,83.3
Uttar Pradesh,Kanpur,Wheat,42492.32,82.0
Madhya Pradesh,Gwalior,Cotton,2029.28,77.1
Karnataka,Shimoga,Potato,45888.06,46.3
Gujarat,Ahmedabad,Tomato,36467.82,49.2
Haryana,Hisar,Apple,48247.4,38.8
Rajasthan,Udaipur,Grapes,41047.03,76.7
Goa,Verna,Onion,29234.41,54.0
Tamil Nadu,Tirupur,Soybean,8531.05,88.6
Maharashtra,Nashik,Rice,23216.88,69.7
Punjab,Amritsar,Maize,4934.86,82.8
Uttar Pradesh,Kanpur,Wheat,13093.51,89.2
Madhya Pradesh,Gwalior,Cotton,38492.61,61.8
Karnataka,Shimoga,Potato,9133.37,90.7
Gujarat,Ahmedabad,Tomato,1903.11,61.5
Haryana,Hisar,Apple,43301.58,65.9
Rajasthan,Udaipur,Grapes,5114.81,93.5
Goa,Verna,Onion,21347.17,44.5
Tamil Nadu,Tirupur,Soybean,32582.33,49.5
Maharashtra,Nashik,Rice,3879.65,69.2
Punjab,Amritsar,Maize,36986.89,33.4
Uttar Pradesh,Kanpur,Wheat,42860.45,52.4
Madhya Pradesh,Gwalior,Cotton,2420.59,48.4
Karnataka,Shimoga,Potato,12355.16,31.0
Gujarat,Ahmedabad,Tomato,3004.48,63.2
Haryana,Hisar,Apple,49523.22,91.3
Rajasthan,Udaipur,Grapes,33414.9,42.7
Goa,Verna,Onion,46109.75,56.1
Tamil Nadu,Tirupur,Soybean,8473.08,81.5
Maharashtra,Nashik,Rice,2335.08,62.4
Punjab,Amritsar,Maize,24765.4,40.7
Uttar Pradesh,Kanpur,Wheat,4221.95,45.2
Madhya Pradesh,Gwalior,Cotton,32069.22,50.2
Karnataka,Shimoga,Potato,4437.93,47.3
Gujarat,Ahmedabad,Tomato,21280.22,58.1
Haryana,Hisar,Apple,44403.72,89.8
Rajasthan,Udaipur,Grapes,37798.82,42.9
Goa,Verna,Onion,27001.85,63.3
Tamil Nadu,Tirupur,Soybean,12971.53,71.7
Maharashtra,Nashik,Rice,43865.88,73.0
Punjab,Amritsar,Maize,3493.89,87.8
Uttar Pradesh,Kanpur,Wheat,2867.62,78.2
Madhya Pradesh,Gwalior,Cotton,8381.06,63.1
Karnataka,Shimoga,Potato,49520.93,67.9
Gujarat,Ahmedabad,Tomato,1524.73,88.2
Haryana,Hisar,Apple,41754.45,61.9
Rajasthan,Udaipur,Grapes,11055.32,53.1
Goa,Verna,Onion,47794.02,35.7
Tamil Nadu,Tirupur,Soybean,1230.63,51.7
Maharashtra,Nashik,Rice,18298.61,92.4
Punjab,Amritsar,Maize,37695.35,83.8
Uttar Pradesh,Kanpur,Wheat,37176.43,64.3
Madhya Pradesh,Gwalior,Cotton,7263.5,45.6
Karnataka,Shimoga,Potato,28288.92,87.1
Gujarat,Ahmedabad,Tomato,11433.85,33.6
Haryana,Hisar,Apple,40873.01,31.8
Rajasthan,Udaipur,Grapes,33816.76,61.1
Goa,Verna,Onion,43373.85,70.1
Tamil Nadu,Tirupur,Soybean,21071.9,60.0
Maharashtra,Nashik,Rice,25596.84,71.5
Punjab,Amritsar,Maize,8732.56,55.9
Uttar Pradesh,Kanpur,Wheat,45152.27,68.7
Madhya Pradesh,Gwalior,Cotton,16950.6,71.8
Karnataka,Shimoga,Potato,16331.25,69.8
Gujarat,Ahmedabad,Tomato,36720.24,54.3
Haryana,Hisar,Apple,31656.62,34.8
Rajasthan,Udaipur,Grapes,15549.63,36.8
Goa,Verna,Onion,21353.89,61.6
Tamil Nadu,Tirupur,Soybean,5255.86,89.9
Maharashtra,Nashik,Rice,30075.71,59.3
Punjab,Amritsar,Maize,35630.67,64.0
Uttar Pradesh,Kanpur,Wheat,5544.34,90.8
Madhya Pradesh,Gwalior,Cotton,21261.47,63.1
Karnataka,Shimoga,Potato,17046.86,41.6
Gujarat,Ahmedabad,Tomato,35935.35,52.0
Haryana,Hisar,Apple,1383.62,81.6
Rajasthan,Udaipur,Grapes,30687.92,76.4
Goa,Verna,Onion,21477.15,36.3
Tamil Nadu,Tirupur,Soybean,35907.1,67.9
Maharashtra,Nashik,Rice,14762.72,72.4
Punjab,Amritsar,Maize,36133.57,55.8
Uttar Pradesh,Kanpur,Wheat,17221.99,54.3
Madhya Pradesh,Gwalior,Cotton,28905.82,55.6
Karnataka,Shimoga,Potato,9935.13,60.6
Gujarat,Ahmedabad,Tomato,13078.58,55.9
Haryana,Hisar,Apple,20018.38,81.0
Rajasthan,Udaipur,Grapes,25084.73,69.1
Goa,Verna,Onion,48358.78,55.5
Tamil Nadu,Tirupur,Soybean,42937.85,50.9
Maharashtra,Nashik,Rice,35654.28,61.2
Punjab,Amritsar,Maize,1979.7,57.8
Uttar Pradesh,Kanpur,Wheat,41462.1,45.5
Madhya Pradesh,Gwalior,Cotton,43325.05,93.1
Karnataka,Shimoga,Potato,15647.96,72.7
