crop,state,season,area_hectares,production_tons,rainfall_mm,fertilizer_kg_ha
Grapes,Karnataka,Zaid,4.98,108.36,568.2,158.0
Apple,Madhya Pradesh,Whole Year,47.69,471.52,761.8,75.1
Chickpea,Tamil Nadu,Kharif,23.58,45.96,379.5,56.1
Apple,Gujarat,Whole Year,34.2,254.08,692.8,75.5
Rice,Gujarat,Kharif,21.17,60.78,922.3,64.4
Apple,Uttar Pradesh,Zaid,40.5,587.36,1086.5,84.2
Apple,Goa,Kharif,30.34,297.62,630.9,91.6
Maize,Madhya Pradesh,Kharif,41.05,144.09,601.4,95.0
Potato,Goa,Zaid,48.04,739.05,542.0,133.7
Cotton,Haryana,Kharif,29.37,57.51,854.1,95.2
Chickpea,Haryana,Rabi,4.06,5.68,303.0,81.8
Cotton,Maharashtra,Kharif,39.97,90.61,677.4,99.5
Apple,Madhya Pradesh,Kharif,10.53,131.83,1108.9,39.9
Cotton,Tamil Nadu,Zaid,26.93,65.72,578.2,52.5
Cotton,Karnataka,Rabi,42.45,54.7,674.9,71.6
Grapes,Madhya Pradesh,Rabi,35.23,570.44,615.8,131.2
Apple,Karnataka,Whole Year,12.5,139.39,672.0,65.0
Potato,Tamil Nadu,Rabi,8.49,174.51,364.3,175.2
Apple,Rajasthan,Zaid,0.92,11.49,1063.8,100.9
Grapes,Madhya Pradesh,Whole Year,30.18,464.46,627.2,76.9
Cotton,Haryana,Kharif,5.22,10.47,741.8,67.7
Rice,Tamil Nadu,Whole Year,14.95,41.6,1250.7,47.5
Tomato,Rajasthan,Rabi,7.64,203.37,737.0,172.6
Maize,Haryana,Zaid,5.35,19.68,664.8,120.2
Banana,Uttar Pradesh,Kharif,36.02,1326.74,919.0,219.9
Tomato,Goa,Rabi,48.84,1101.92,937.8,132.5
Potato,Haryana,Kharif,19.04,264.93,612.3,166.1
Potato,Uttar Pradesh,Zaid,17.01,309.94,700.9,128.5
Maize,Uttar Pradesh,Rabi,25.35,99.25,760.5,139.5
Cotton,Punjab,Kharif,13.03,17.71,815.4,70.1
Chickpea,Haryana,Rabi,1.08,2.5,516.3,91.8
Grapes,Uttar Pradesh,Whole Year,46.83,921.43,836.7,100.5
Apple,Goa,Zaid,1.29,15.0,1015.7,67.0
Wheat,Haryana,Rabi,42.43,181.6,573.9,91.4
Rice,Tamil Nadu,Whole Year,29.65,80.16,1174.9,105.0
Banana,Haryana,Whole Year,28.75,941.0,1220.5,162.6
Wheat,Punjab,Rabi,17.94,77.52,621.4,112.1
Wheat,Punjab,Kharif,46.24,208.6,481.5,151.5
Wheat,Madhya Pradesh,Rabi,34.45,130.68,808.1,118.9
Grapes,Tamil Nadu,Whole Year,27.75,374.81,655.2,192.6
Tomato,Haryana,Rabi,46.14,1219.86,768.9,194.2
Chickpea,Madhya Pradesh,Kharif,44.51,79.12,500.7,80.6
Maize,Maharashtra,Rabi,35.36,171.04,700.1,134.4
Wheat,Goa,Rabi,39.81,130.05,567.0,76.2
Cotton,Haryana,Zaid,9.44,23.81,893.5,131.3
Wheat,Maharashtra,Whole Year,41.7,203.99,350.2,142.2
Apple,Tamil Nadu,Rabi,27.73,451.17,958.9,149.8
Grapes,Haryana,Rabi,39.9,563.7,530.4,125.8
Cotton,Rajasthan,Whole Year,17.67,42.17,740.9,100.9
Tomato,Uttar Pradesh,Kharif,38.72,892.99,600.3,167.7
Potato,Haryana,Kharif,28.11,619.22,625.7,171.6
Cotton,Uttar Pradesh,Whole Year,44.36,76.58,870.2,59.6
Chickpea,Madhya Pradesh,Whole Year,0.97,1.35,355.4,22.1
Rice,Punjab,Zaid,28.89,110.07,967.9,106.3
Tomato,Uttar Pradesh,Rabi,10.57,252.0,512.2,152.0
Potato,Karnataka,Kharif,38.35,705.86,591.2,129.1
Wheat,Haryana,Kharif,16.09,72.8,664.1,135.0
Apple,Punjab,Whole Year,16.19,210.64,1226.8,78.5
Wheat,Uttar Pradesh,Kharif,22.14,95.06,644.6,126.3
Banana,Karnataka,Whole Year,42.85,1636.03,1573.8,210.0
Potato,Rajasthan,Rabi,38.24,791.69,617.5,142.1
Rice,Gujarat,Zaid,43.5,113.9,705.2,82.3
Tomato,Gujarat,Rabi,0.67,14.37,686.3,119.2
Wheat,Uttar Pradesh,Whole Year,35.71,128.78,286.0,107.7
Potato,Tamil Nadu,Rabi,24.04,471.65,345.8,171.6
Tomato,Uttar Pradesh,Zaid,6.45,179.72,893.1,180.4
Grapes,Madhya Pradesh,Rabi,22.67,377.66,596.6,195.1
Grapes,Madhya Pradesh,Whole Year,34.96,634.12,650.3,129.6
Tomato,Maharashtra,Kharif,6.45,156.18,620.8,126.4
Maize,Haryana,Rabi,45.69,223.14,645.5,135.5
Grapes,Tamil Nadu,Kharif,36.29,596.43,875.0,148.5
Wheat,Gujarat,Rabi,15.76,79.42,896.3,155.6
Cotton,Gujarat,Rabi,34.61,74.63,908.4,91.2
Chickpea,Haryana,Zaid,35.32,69.08,477.0,109.7
Banana,Rajasthan,Zaid,24.91,991.87,1364.6,179.1
Cotton,Karnataka,Kharif,25.1,42.79,886.5,77.6
Grapes,Punjab,Kharif,5.38,103.75,717.9,144.6
Rice,Gujarat,Rabi,38.41,103.45,808.2,100.7
Rice,Gujarat,Whole Year,34.9,149.71,1200.5,86.6
Grapes,Uttar Pradesh,Zaid,42.04,688.02,833.2,148.0
Maize,Rajasthan,Whole Year,22.54,88.39,650.0,107.6
Tomato,Punjab,Kharif,20.43,417.29,789.6,121.3
Banana,Punjab,Zaid,22.32,794.48,1214.0,218.6
Wheat,Rajasthan,Kharif,30.67,131.31,510.8,108.2
Grapes,Tamil Nadu,Zaid,33.89,499.04,663.1,111.4
Grapes,Gujarat,Zaid,34.9,508.91,561.8,122.0
Tomato,Goa,Whole Year,8.76,158.96,802.5,131.7
Rice,Uttar Pradesh,Whole Year,45.71,164.67,1350.7,146.6
Grapes,Rajasthan,Zaid,39.13,675.14,541.0,153.4
Wheat,Haryana,Rabi,7.06,23.37,572.1,98.4
Maize,Tamil Nadu,Zaid,37.78,169.23,545.3,104.8
Rice,Punjab,Whole Year,26.62,86.78,1082.8,99.1
Banana,Punjab,Zaid,20.22,627.44,1222.2,197.1
Banana,Punjab,Rabi,33.78,1138.28,1429.6,205.3
Potato,Tamil Nadu,Zaid,25.56,461.73,824.7,179.3
Potato,Uttar Pradesh,Rabi,32.62,504.18,645.3,113.6
Tomato,Tamil Nadu,Rabi,25.05,537.12,755.2,206.7
Wheat,Madhya Pradesh,Zaid,44.65,161.81,663.5,101.3
Apple,Goa,Whole Year,42.89,500.57,1043.4,101.1
Apple,Rajasthan,Rabi,24.83,327.62,897.5,98.9
Maize,Maharashtra,Kharif,11.05,47.77,667.0,124.8
Apple,Haryana,Rabi,44.47,508.86,678.4,90.7
Wheat,Maharashtra,Zaid,24.29,91.22,367.4,177.3
Apple,Rajasthan,Kharif,44.34,562.03,1008.7,78.2
Potato,Madhya Pradesh,Zaid,18.57,322.41,462.3,146.0
Banana,Haryana,Zaid,14.76,547.07,1221.5,160.9
Potato,Madhya Pradesh,Zaid,45.26,900.5,370.1,118.7
Chickpea,Haryana,Kharif,32.04,57.52,620.4,34.7
Tomato,Rajasthan,Kharif,6.85,132.49,815.8,156.0
Rice,Rajasthan,Whole Year,31.19,86.39,942.8,123.3
Grapes,Maharashtra,Whole Year,24.97,367.58,610.5,148.4
Cotton,Karnataka,Rabi,45.47,114.29,1038.7,59.7
Chickpea,Gujarat,Rabi,27.47,38.32,404.2,74.1
Grapes,Maharashtra,Rabi,19.39,285.77,640.8,188.8
Tomato,Rajasthan,Kharif,35.45,834.39,925.1,170.4
Rice,Gujarat,Whole Year,18.79,62.56,1162.4,152.0
Cotton,Rajasthan,Kharif,40.87,54.18,943.6,73.2
Tomato,Karnataka,Whole Year,14.71,277.26,535.4,156.3
Banana,Karnataka,Kharif,11.97,371.21,1146.3,192.5
Tomato,Uttar Pradesh,Zaid,25.28,738.84,1093.8,132.6
Tomato,Rajasthan,Whole Year,15.58,326.67,987.3,130.9
Banana,Karnataka,Whole Year,4.56,144.37,1190.5,203.2
Rice,Tamil Nadu,Rabi,3.16,10.88,1018.9,144.6
Maize,Uttar Pradesh,Kharif,5.49,14.95,566.0,77.4
Wheat,Punjab,Rabi,22.83,82.82,320.5,130.3
Potato,Gujarat,Rabi,24.73,497.55,779.9,184.3
Banana,Gujarat,Whole Year,32.85,1331.77,1482.0,197.8
Maize,Punjab,Zaid,9.12,37.48,486.1,101.8
Potato,Haryana,Whole Year,48.15,915.82,505.3,170.7
Cotton,Rajasthan,Whole Year,0.84,1.11,772.4,80.9
Chickpea,Maharashtra,Kharif,34.98,59.05,595.4,44.5
Tomato,Rajasthan,Zaid,24.41,549.18,636.6,161.3
Wheat,Rajasthan,Kharif,49.27,226.01,359.1,124.6
Apple,Rajasthan,Zaid,16.11,211.46,809.3,123.2
Maize,Goa,Rabi,34.49,116.11,796.3,123.4
Wheat,Haryana,Whole Year,39.18,152.19,414.5,155.2
Grapes,Rajasthan,Whole Year,5.5,89.71,695.3,205.9
Grapes,Madhya Pradesh,Rabi,42.61,479.73,858.5,84.9
Chickpea,Madhya Pradesh,Whole Year,4.69,9.69,400.3,24.9
Chickpea,Rajasthan,Whole Year,8.44,16.37,426.3,69.3
Grapes,Madhya Pradesh,Whole Year,20.25,299.88,670.9,125.0
Chickpea,Goa,Whole Year,42.08,88.32,595.1,74.2
Apple,Tamil Nadu,Whole Year,4.23,50.83,1011.3,90.9
Cotton,Gujarat,Zaid,40.27,83.33,739.5,63.0
Apple,Karnataka,Rabi,3.72,38.21,872.5,122.8
Rice,Madhya Pradesh,Kharif,4.52,16.39,1017.0,121.4
Banana,Tamil Nadu,Rabi,5.6,196.53,1352.8,223.0
Apple,Uttar Pradesh,Zaid,34.97,431.06,744.0,84.6
Potato,Punjab,Zaid,49.52,910.97,552.7,186.2
Chickpea,Gujarat,Whole Year,21.1,44.12,525.8,86.7
Maize,Haryana,Rabi,38.81,135.55,801.8,80.2
Chickpea,Uttar Pradesh,Kharif,23.15,34.99,398.0,21.6
Cotton,Gujarat,Kharif,37.47,88.04,583.9,84.5
Banana,Gujarat,Kharif,43.44,1696.06,907.9,228.2
Maize,Rajasthan,Zaid,43.12,178.87,828.5,89.7
Wheat,Tamil Nadu,Rabi,13.29,62.46,472.2,130.7
Cotton,Rajasthan,Rabi,10.09,25.1,891.2,59.0
Cotton,Goa,Whole Year,6.55,15.29,1148.7,107.9
Rice,Maharashtra,Whole Year,24.56,105.56,984.1,143.9
Grapes,Tamil Nadu,Rabi,21.7,383.46,591.8,139.8
Tomato,Karnataka,Zaid,2.36,43.32,538.1,147.7
Apple,Punjab,Whole Year,16.57,220.77,1108.8,115.5
Potato,Goa,Whole Year,12.48,210.8,396.3,183.0
Wheat,Goa,Rabi,12.25,48.66,482.8,122.8
Banana,Goa,Whole Year,26.35,954.94,1133.3,217.3
Maize,Maharashtra,Kharif,37.86,149.32,561.1,108.9
Chickpea,Karnataka,Rabi,34.2,60.95,425.2,46.4
Tomato,Gujarat,Whole Year,46.19,1194.28,685.2,161.9
Potato,Gujarat,Whole Year,36.03,860.07,491.9,120.8
Rice,Haryana,Rabi,6.92,24.16,796.9,94.1
Wheat,Gujarat,Kharif,20.25,97.81,464.7,78.1
Apple,Gujarat,Rabi,43.31,316.37,602.7,61.4
Chickpea,Uttar Pradesh,Zaid,48.89,89.65,618.7,72.5
Apple,Maharashtra,Kharif,44.01,720.81,1108.5,117.1
Apple,Tamil Nadu,Whole Year,2.58,23.56,554.8,93.8
Cotton,Gujarat,Kharif,7.58,15.66,761.2,79.3
Grapes,Maharashtra,Whole Year,31.6,515.53,841.2,168.0
Rice,Haryana,Rabi,30.34,114.77,1053.6,147.5
Maize,Karnataka,Zaid,16.24,92.58,710.8,132.7
Rice,Haryana,Zaid,42.29,131.12,922.7,84.0
Potato,Tamil Nadu,Rabi,38.69,748.93,790.2,161.0
Chickpea,Uttar Pradesh,Whole Year,9.57,18.8,576.4,20.0
Chickpea,Haryana,Whole Year,45.03,56.84,449.4,20.0
Wheat,Goa,Kharif,14.27,59.8,364.6,113.4
Maize,Maharashtra,Kharif,13.94,63.23,507.2,112.9
Grapes,Haryana,Whole Year,10.23,126.01,699.5,104.2
Chickpea,Karnataka,Whole Year,41.39,80.66,525.6,40.9
Cotton,Haryana,Rabi,2.97,7.25,787.7,123.4
Wheat,Punjab,Rabi,35.72,150.35,527.3,119.1
Banana,Uttar Pradesh,Whole Year,22.88,771.6,929.4,197.5
Chickpea,Madhya Pradesh,Whole Year,3.17,4.54,348.0,59.1
Tomato,Madhya Pradesh,Zaid,25.25,589.69,823.7,196.9
Rice,Gujarat,Rabi,31.74,122.38,876.7,91.6
Rice,Tamil Nadu,Zaid,13.62,50.46,917.4,123.4
Wheat,Haryana,Kharif,28.21,138.75,725.1,109.6
Apple,Gujarat,Rabi,47.15,314.35,805.7,88.3
Tomato,Gujarat,Whole Year,7.33,142.88,549.1,123.0
Tomato,Haryana,Kharif,10.96,212.4,548.2,151.8
Grapes,Haryana,Whole Year,37.29,427.35,729.2,152.6
Potato,Tamil Nadu,Whole Year,23.26,446.57,392.5,146.8
Banana,Maharashtra,Rabi,43.46,1344.47,1065.3,219.6
Rice,Uttar Pradesh,Zaid,29.93,97.01,662.1,108.5
Grapes,Goa,Rabi,37.39,485.3,795.5,133.2
Cotton,Tamil Nadu,Rabi,21.1,34.84,574.0,74.5
Grapes,Goa,Kharif,32.78,433.23,799.4,110.5
Banana,Punjab,Zaid,3.05,85.26,1142.9,203.1
Rice,Rajasthan,Zaid,45.93,134.62,1089.9,115.8
Banana,Gujarat,Kharif,25.41,826.83,1072.5,220.2
Maize,Goa,Kharif,46.11,194.12,600.5,123.3
Cotton,Goa,Zaid,43.28,60.26,819.4,82.1
Cotton,Madhya Pradesh,Zaid,0.93,2.23,892.4,44.3
Banana,Tamil Nadu,Whole Year,2.9,100.24,1163.4,177.2
Potato,Uttar Pradesh,Whole Year,16.48,240.41,295.8,167.3
Rice,Maharashtra,Kharif,34.92,169.86,1105.5,111.7
Chickpea,Goa,Whole Year,6.63,11.76,239.0,44.3
Wheat,Karnataka,Zaid,47.61,178.04,516.2,163.0
Cotton,Punjab,Kharif,40.31,81.92,899.5,113.9
Cotton,Maharashtra,Zaid,39.66,108.29,949.6,99.5
Apple,Haryana,Whole Year,48.01,670.94,846.3,98.3
Tomato,Tamil Nadu,Whole Year,42.75,708.79,815.8,129.7
Rice,Maharashtra,Rabi,14.42,62.17,961.3,146.6
Banana,Haryana,Zaid,47.09,1950.16,1016.5,212.3
Tomato,Goa,Rabi,8.69,191.76,882.3,198.8
Cotton,Maharashtra,Zaid,7.61,14.83,821.8,82.3
Wheat,Goa,Whole Year,20.45,56.08,521.6,172.3
Banana,Madhya Pradesh,Whole Year,16.4,568.32,1147.8,208.5
Apple,Haryana,Rabi,42.68,607.36,1021.1,90.8
Rice,Gujarat,Kharif,40.93,142.21,949.1,127.1
Grapes,Tamil Nadu,Kharif,6.92,109.17,529.6,140.5
Banana,Rajasthan,Kharif,33.6,1506.02,1431.1,211.5
Wheat,Gujarat,Whole Year,18.88,64.95,623.0,112.9
Rice,Karnataka,Whole Year,0.8,2.4,922.5,137.4
Cotton,Gujarat,Rabi,24.16,33.54,398.8,97.0
Maize,Uttar Pradesh,Whole Year,19.69,77.7,712.4,105.6
Cotton,Maharashtra,Zaid,30.49,63.25,677.3,50.5
Maize,Haryana,Whole Year,33.69,170.05,697.6,124.5
Cotton,Gujarat,Rabi,42.14,87.53,687.9,99.9
Cotton,Haryana,Whole Year,22.45,53.92,783.8,54.9
Rice,Goa,Rabi,10.7,39.39,1210.3,137.1
Grapes,Gujarat,Kharif,17.5,335.85,621.0,173.7
Grapes,Gujarat,Whole Year,21.15,397.23,756.1,139.5
Grapes,Tamil Nadu,Kharif,7.62,136.42,682.8,135.2
Maize,Maharashtra,Rabi,39.78,209.75,501.9,106.7
Apple,Rajasthan,Rabi,18.11,251.47,923.8,88.3
Grapes,Gujarat,Kharif,47.71,688.67,498.8,124.8
Chickpea,Tamil Nadu,Rabi,23.87,41.41,406.8,20.0
Cotton,Tamil Nadu,Zaid,35.3,89.8,568.5,83.3
Rice,Maharashtra,Rabi,20.5,73.95,1214.7,122.6
Tomato,Punjab,Zaid,43.55,896.54,790.4,138.0
Grapes,Goa,Rabi,38.97,534.28,870.5,110.6
Apple,Haryana,Rabi,35.18,376.62,1099.2,54.0
Apple,Uttar Pradesh,Kharif,44.66,617.01,635.2,84.8
Chickpea,Karnataka,Rabi,35.0,68.01,458.8,20.0
Maize,Haryana,Kharif,19.88,63.71,691.1,120.5
Chickpea,Haryana,Rabi,34.61,52.95,478.2,29.8
Grapes,Haryana,Whole Year,16.73,297.44,752.3,145.1
Chickpea,Uttar Pradesh,Whole Year,9.8,20.36,779.5,20.0
Apple,Gujarat,Whole Year,49.1,827.14,1063.4,100.0
Maize,Karnataka,Rabi,16.14,38.04,666.2,74.0
Grapes,Haryana,Whole Year,7.6,116.3,704.8,144.8
Maize,Haryana,Kharif,40.97,160.2,392.6,93.6
Tomato,Goa,Kharif,12.72,311.24,661.3,196.4
Chickpea,Uttar Pradesh,Whole Year,2.99,4.85,518.6,20.0
Tomato,Maharashtra,Whole Year,44.67,853.54,635.9,140.9
Banana,Gujarat,Kharif,33.92,1069.18,1003.2,209.6
Grapes,Punjab,Whole Year,24.34,444.7,485.1,139.0
Chickpea,Tamil Nadu,Rabi,17.63,24.77,349.6,28.7
Grapes,Rajasthan,Rabi,4.17,60.95,732.9,185.0
Rice,Uttar Pradesh,Kharif,11.24,43.39,1030.1,147.7
Tomato,Punjab,Zaid,4.12,90.62,637.6,151.4
Wheat,Punjab,Kharif,47.8,165.23,772.5,116.4
Wheat,Rajasthan,Whole Year,4.66,20.81,483.3,168.4
Grapes,Gujarat,Rabi,46.43,795.96,555.5,160.8
Wheat,Punjab,Whole Year,33.8,93.77,392.0,62.3
Banana,Punjab,Rabi,19.58,675.43,1167.8,168.7
Apple,Karnataka,Rabi,49.59,563.05,936.1,117.6
Chickpea,Punjab,Whole Year,34.86,73.06,468.6,59.2
Potato,Madhya Pradesh,Zaid,49.58,808.19,604.6,169.4
Banana,Gujarat,Kharif,12.54,392.97,1117.5,183.7
Tomato,Haryana,Zaid,14.07,321.28,857.3,166.7
Tomato,Karnataka,Rabi,49.96,1022.03,771.5,160.4
Cotton,Madhya Pradesh,Rabi,38.19,64.74,536.7,66.9
Apple,Gujarat,Whole Year,21.93,251.66,794.6,111.8
Chickpea,Karnataka,Kharif,39.89,63.54,528.1,61.7
Chickpea,Tamil Nadu,Rabi,30.96,51.89,619.1,74.9
Apple,Punjab,Whole Year,32.39,384.94,1078.7,79.4
Banana,Maharashtra,Kharif,39.74,1096.86,990.0,144.5
Chickpea,Maharashtra,Whole Year,46.48,77.65,388.0,20.9
Maize,Goa,Rabi,31.95,163.85,656.4,146.6
Potato,Punjab,Whole Year,33.33,707.12,815.1,185.7
Cotton,Punjab,Kharif,20.82,49.46,869.1,40.9
Potato,Karnataka,Rabi,36.8,797.19,861.7,148.0
Wheat,Tamil Nadu,Rabi,46.11,207.92,663.0,144.2
Banana,Madhya Pradesh,Rabi,3.85,139.13,1125.1,137.7
Potato,Rajasthan,Kharif,17.05,243.32,566.5,129.8
Apple,Punjab,Whole Year,22.23,275.37,1152.2,144.6
Tomato,Madhya Pradesh,Whole Year,45.94,1080.43,647.9,163.7
Banana,Goa,Zaid,10.22,397.67,1321.8,212.7
Banana,Madhya Pradesh,Whole Year,8.98,265.25,1045.8,273.4
Banana,Maharashtra,Rabi,36.84,884.49,964.8,190.2
Potato,Karnataka,Zaid,9.06,124.81,461.7,125.0
Wheat,Goa,Kharif,44.12,172.3,424.1,143.0
Wheat,Karnataka,Kharif,27.32,106.07,385.1,152.4
Potato,Punjab,Rabi,15.73,162.27,308.8,159.1
Wheat,Punjab,Kharif,40.18,216.84,573.8,138.7
Wheat,Punjab,Whole Year,36.24,147.22,623.0,134.0
Tomato,Rajasthan,Whole Year,3.96,67.19,1000.1,167.4
Apple,Goa,Whole Year,46.31,644.08,1220.3,110.3
Maize,Punjab,Zaid,30.13,132.81,605.6,151.3
Cotton,Uttar Pradesh,Zaid,33.35,53.31,467.4,90.8
Tomato,Uttar Pradesh,Whole Year,8.23,201.52,873.3,132.6
Maize,Haryana,Zaid,30.53,131.9,823.6,118.1
Potato,Haryana,Kharif,15.52,298.66,601.3,180.0
Tomato,Rajasthan,Rabi,32.7,686.62,852.7,153.4
Potato,Maharashtra,Zaid,39.87,597.83,430.2,174.4
Apple,Karnataka,Rabi,27.08,312.72,886.7,117.2
Grapes,Punjab,Rabi,47.19,698.82,558.9,162.3
Rice,Rajasthan,Kharif,7.99,38.46,1230.9,155.0
Tomato,Uttar Pradesh,Zaid,17.37,343.48,934.6,152.9
Maize,Maharashtra,Whole Year,1.43,6.61,347.4,87.3
Cotton,Haryana,Kharif,12.56,22.51,781.0,68.4
Wheat,Rajasthan,Kharif,44.35,145.86,443.7,147.4
Cotton,Rajasthan,Kharif,24.33,44.53,584.9,101.0
Apple,Haryana,Zaid,2.24,23.04,686.4,47.3
Potato,Tamil Nadu,Whole Year,14.14,212.47,377.8,100.9
Cotton,Maharashtra,Whole Year,29.21,85.95,1098.8,76.4
Chickpea,Rajasthan,Zaid,46.67,91.91,533.6,28.3
Wheat,Rajasthan,Kharif,32.13,115.8,275.7,115.1
Tomato,Uttar Pradesh,Rabi,31.15,711.43,684.6,155.7
Cotton,Uttar Pradesh,Kharif,44.05,89.83,627.2,71.2
Maize,Tamil Nadu,Zaid,48.62,225.74,523.5,119.6
Cotton,Rajasthan,Zaid,4.01,7.47,713.3,45.7
Banana,Haryana,Zaid,6.77,289.89,1115.2,184.1
Banana,Uttar Pradesh,Kharif,28.92,1146.65,1566.2,178.7
Wheat,Gujarat,Kharif,26.54,149.21,571.4,132.3
Apple,Gujarat,Kharif,38.16,360.26,731.9,75.2
Grapes,Maharashtra,Kharif,31.49,438.0,391.1,140.8
Wheat,Tamil Nadu,Kharif,23.52,98.55,522.7,172.3
Cotton,Tamil Nadu,Kharif,14.75,28.74,934.8,74.5
Apple,Uttar Pradesh,Zaid,23.18,338.77,1190.0,146.2
Grapes,Gujarat,Zaid,32.92,597.5,804.6,139.7
Potato,Goa,Kharif,48.38,642.46,521.0,129.9
Rice,Uttar Pradesh,Kharif,2.16,6.41,1100.0,130.2
Apple,Haryana,Kharif,14.67,137.62,697.9,88.6
Tomato,Haryana,Whole Year,38.57,805.67,640.0,173.8
Cotton,Goa,Whole Year,28.63,57.97,828.0,49.3
Potato,Karnataka,Whole Year,3.39,59.93,571.6,131.8
Apple,Madhya Pradesh,Whole Year,2.64,36.86,678.6,79.6
Potato,Maharashtra,Whole Year,44.71,897.87,585.5,134.2
Potato,Tamil Nadu,Kharif,41.17,880.28,413.3,238.2
Rice,Madhya Pradesh,Kharif,4.57,13.31,919.2,102.3
Chickpea,Rajasthan,Kharif,42.86,55.61,443.8,21.9
Tomato,Madhya Pradesh,Rabi,47.37,1160.17,758.3,183.7
Potato,Karnataka,Zaid,30.16,544.62,544.9,138.3
Chickpea,Gujarat,Kharif,0.87,1.25,396.3,20.9
Cotton,Haryana,Rabi,30.39,70.96,483.5,67.7
Apple,Punjab,Kharif,5.44,76.92,1074.5,82.8
Potato,Karnataka,Whole Year,29.25,669.12,436.7,117.9
Cotton,Punjab,Zaid,39.22,97.05,795.3,133.8
Cotton,Uttar Pradesh,Whole Year,23.13,44.79,864.9,74.2
Chickpea,Tamil Nadu,Whole Year,16.4,26.09,251.8,20.0
Grapes,Uttar Pradesh,Kharif,22.07,257.94,639.9,111.7
Potato,Madhya Pradesh,Zaid,47.24,881.21,728.0,130.4
Apple,Gujarat,Whole Year,47.63,635.14,1031.8,99.8
Potato,Punjab,Kharif,9.66,171.66,531.0,186.2
Chickpea,Punjab,Whole Year,38.47,73.78,385.7,20.0
Tomato,Tamil Nadu,Rabi,7.98,147.31,894.0,192.5
Maize,Karnataka,Kharif,46.98,218.27,424.2,137.1
Grapes,Madhya Pradesh,Whole Year,33.98,414.57,755.4,130.8
Apple,Rajasthan,Whole Year,43.93,470.45,680.3,129.3
Banana,Karnataka,Whole Year,33.16,1027.42,936.9,175.0
Banana,Goa,Whole Year,1.07,45.88,1600.0,245.2
Banana,Haryana,Zaid,1.5,59.91,1234.8,227.9
Wheat,Karnataka,Rabi,8.83,37.87,529.3,121.4
Rice,Madhya Pradesh,Kharif,23.06,77.38,988.4,105.5
Maize,Haryana,Whole Year,23.99,99.32,540.1,130.7
Apple,Gujarat,Rabi,30.94,501.36,1074.6,147.8
Potato,Uttar Pradesh,Rabi,30.2,633.82,648.1,150.6
Cotton,Tamil Nadu,Kharif,48.43,84.48,507.3,129.0
Potato,Punjab,Kharif,17.11,293.26,558.5,182.7
Wheat,Karnataka,Kharif,4.18,11.74,416.7,98.6
Wheat,Tamil Nadu,Rabi,36.53,159.98,496.6,182.3
Maize,Uttar Pradesh,Kharif,31.77,162.07,844.4,124.7
Potato,Madhya Pradesh,Zaid,15.69,276.92,505.4,176.8
Banana,Maharashtra,Whole Year,47.02,1668.58,1120.9,219.2
Banana,Maharashtra,Whole Year,7.74,213.66,1317.8,210.0
Wheat,Punjab,Kharif,8.27,37.43,464.9,147.9
Potato,Madhya Pradesh,Rabi,27.39,647.92,841.2,169.4
Apple,Punjab,Kharif,46.47,655.83,1116.6,133.7
Grapes,Goa,Kharif,23.56,406.65,780.9,140.8
Potato,Uttar Pradesh,Zaid,41.66,748.04,660.7,142.3
Grapes,Maharashtra,Rabi,23.55,361.64,843.6,118.7
Wheat,Haryana,Rabi,34.82,131.72,256.2,181.2
Apple,Maharashtra,Whole Year,39.35,525.42,1070.6,100.8
Wheat,Karnataka,Whole Year,3.63,11.49,330.9,137.8
Chickpea,Gujarat,Zaid,25.58,40.29,245.4,58.1
Banana,Goa,Zaid,1.11,47.46,1052.7,212.5
Potato,Karnataka,Zaid,42.81,655.48,364.3,180.6
Banana,Gujarat,Rabi,22.18,749.55,1082.6,142.9
Tomato,Karnataka,Zaid,6.13,104.08,819.1,149.7
Potato,Rajasthan,Zaid,43.01,787.06,516.7,169.9
Tomato,Punjab,Kharif,36.88,620.87,559.3,157.7
Wheat,Maharashtra,Whole Year,41.55,203.4,559.8,154.2
Apple,Rajasthan,Rabi,15.09,138.29,921.4,108.1
Banana,Karnataka,Kharif,38.05,1702.16,1195.9,193.2
Grapes,Punjab,Whole Year,17.37,310.88,880.4,157.2
Rice,Tamil Nadu,Rabi,3.36,11.82,1017.6,102.2
Rice,Uttar Pradesh,Whole Year,42.46,134.47,942.3,96.5
Tomato,Uttar Pradesh,Kharif,3.52,90.41,437.9,200.1
Apple,Rajasthan,Zaid,37.17,476.57,694.2,76.6
Rice,Gujarat,Rabi,13.28,56.39,1188.2,138.3
Tomato,Madhya Pradesh,Whole Year,9.8,238.17,833.8,211.5
Rice,Madhya Pradesh,Rabi,43.04,144.05,1186.5,128.6
Potato,Goa,Kharif,16.16,185.53,553.7,133.7
Cotton,Gujarat,Rabi,26.45,54.12,517.1,93.5
Grapes,Gujarat,Zaid,35.45,677.09,578.5,161.6
Apple,Goa,Kharif,48.61,631.08,1078.7,63.5
Tomato,Haryana,Zaid,34.0,767.91,1156.6,117.1
Maize,Maharashtra,Whole Year,37.15,134.17,488.9,88.1
Rice,Tamil Nadu,Whole Year,18.01,60.11,1015.4,116.8
Apple,Gujarat,Kharif,8.12,70.54,841.9,115.8
Chickpea,Madhya Pradesh,Whole Year,22.04,38.51,200.0,46.3
Rice,Rajasthan,Rabi,33.33,134.79,1024.5,95.5
