N,P,K,temperature,humidity,ph,rainfall,label
27.4,66.0,18.4,28.76,51.99,6.27,127.4,pigeonpeas
33.0,70.1,24.0,31.17,51.62,6.01,151.55,pigeonpeas
25.9,60.9,23.3,30.64,44.55,6.03,141.73,pigeonpeas
31.3,66.9,19.2,32.13,46.05,6.52,140.58,pigeonpeas
24.7,69.4,19.3,27.74,50.07,6.51,119.61,pigeonpeas
15.6,63.5,23.9,33.8,50.57,6.15,173.08,pigeonpeas
18.8,63.7,23.0,32.05,50.38,6.26,100.23,pigeonpeas
22.8,66.5,20.0,31.14,54.36,6.16,153.41,pigeonpeas
21.8,64.3,24.0,31.37,50.06,6.31,164.29,pigeonpeas
18.2,68.9,21.7,31.99,57.49,5.91,135.81,pigeonpeas
24.0,62.4,26.8,29.0,50.19,6.3,125.96,pigeonpeas
23.7,66.1,21.7,30.78,50.29,5.87,156.43,pigeonpeas
30.8,65.1,23.1,32.62,47.21,6.68,154.05,pigeonpeas
30.4,62.6,27.0,32.81,54.8,6.31,145.03,pigeonpeas
29.0,65.5,17.6,28.39,51.73,6.33,148.87,pigeonpeas
29.1,58.5,22.9,26.76,55.67,6.23,158.39,pigeonpeas
22.1,69.3,25.1,32.36,51.96,6.39,135.86,pigeonpeas
27.9,70.5,25.2,29.3,54.01,5.93,161.45,pigeonpeas
26.5,58.8,19.6,30.34,51.25,5.95,157.78,pigeonpeas
25.8,64.4,20.6,33.45,59.4,6.13,137.76,pigeonpeas
26.6,63.8,22.2,32.73,44.54,6.58,151.45,pigeonpeas
23.6,64.7,22.4,26.96,58.73,6.26,158.86,pigeonpeas
28.2,61.6,23.7,30.38,56.03,5.72,148.02,pigeonpeas
23.0,66.4,23.7,29.35,49.53,6.22,132.07,pigeonpeas
27.8,63.8,15.2,30.13,48.17,5.84,125.25,pigeonpeas
25.4,69.4,23.3,29.58,54.4,6.14,136.11,pigeonpeas
21.2,59.2,21.5,31.37,52.1,6.15,131.09,pigeonpeas
27.0,60.6,24.4,28.66,49.36,5.88,139.97,pigeonpeas
28.3,66.7,24.9,32.22,47.9,6.17,134.4,pigeonpeas
29.4,61.0,24.7,33.08,60.12,6.15,164.25,pigeonpeas
32.6,62.9,18.7,26.61,55.47,5.78,142.55,pigeonpeas
26.5,65.6,23.6,31.52,57.83,6.01,136.46,pigeonpeas
22.4,67.8,24.8,32.05,57.43,5.96,183.34,pigeonpeas
30.1,67.5,27.0,27.13,50.31,6.07,164.43,pigeonpeas
21.5,67.5,25.9,32.62,53.68,6.0,133.06,pigeonpeas
29.2,67.6,22.4,30.02,44.06,5.98,188.23,pigeonpeas
20.7,65.6,25.0,28.07,53.27,6.48,150.25,pigeonpeas
34.6,59.4,25.1,30.6,55.72,6.36,135.34,pigeonpeas
25.8,58.8,24.0,31.7,55.16,6.51,157.35,pigeonpeas
25.5,62.1,20.7,33.77,58.48,6.19,150.92,pigeonpeas
22.0,68.9,24.2,35.53,48.84,6.16,154.63,pigeonpeas
27.2,64.3,20.3,33.06,55.5,6.02,177.11,pigeonpeas
28.9,65.4,22.7,32.29,48.91,6.26,106.95,pigeonpeas
27.9,59.8,26.3,30.23,51.62,6.09,144.24,pigeonpeas
29.7,56.7,25.7,31.79,47.47,5.98,183.53,pigeonpeas
21.8,61.2,25.3,31.79,48.59,6.3,129.48,pigeonpeas
28.7,68.5,23.8,31.84,59.84,6.25,126.36,pigeonpeas
26.5,72.0,20.0,30.16,54.24,6.24,130.35,pigeonpeas
28.7,72.7,23.0,28.89,46.05,6.31,172.08,pigeonpeas
26.6,65.0,21.0,28.45,55.98,6.48,119.09,pigeonpeas
30.3,66.9,26.0,27.87,46.81,6.21,160.06,pigeonpeas
31.0,67.4,21.9,28.61,57.63,6.01,182.57,pigeonpeas
24.1,70.3,24.2,30.68,50.34,6.16,158.57,pigeonpeas
25.3,63.0,22.1,31.18,43.63,6.36,130.41,pigeonpeas
21.2,59.4,18.0,27.84,49.55,6.74,139.48,pigeonpeas
25.6,66.3,22.8,30.82,47.52,6.61,186.14,pigeonpeas
19.4,61.6,21.8,28.75,54.61,6.07,193.3,pigeonpeas
29.0,65.7,25.1,33.58,50.15,6.05,151.56,pigeonpeas
27.9,65.5,18.6,29.13,52.19,6.23,189.45,pigeonpeas
20.4,66.7,26.2,36.3,50.82,6.37,161.4,pigeonpeas
25.7,64.7,23.6,25.09,55.34,6.28,145.55,pigeonpeas
31.8,62.8,21.5,35.65,49.03,6.11,147.06,pigeonpeas
27.8,65.7,19.3,29.76,49.97,6.23,158.52,pigeonpeas
26.4,59.1,25.2,31.59,58.27,6.36,172.03,pigeonpeas
26.6,69.5,23.8,30.77,61.97,6.47,161.47,pigeonpeas
20.7,60.7,23.2,31.34,49.94,6.29,181.77,pigeonpeas
27.3,61.2,22.2,29.12,50.88,6.15,140.45,pigeonpeas
20.8,64.6,21.1,24.16,61.05,6.52,142.47,pigeonpeas
25.1,61.1,26.7,35.43,53.15,6.51,153.51,pigeonpeas
20.5,63.6,22.8,29.94,51.59,6.23,148.38,pigeonpeas
25.2,61.5,20.7,28.0,56.57,5.72,173.07,pigeonpeas
29.6,64.0,16.0,30.16,52.23,6.0,139.7,pigeonpeas
30.1,67.2,20.2,27.27,51.14,6.2,159.92,pigeonpeas
23.2,66.7,27.3,32.9,52.3,6.2,142.87,pigeonpeas
28.9,44.9,22.6,28.07,50.41,5.26,54.92,mothbeans
24.8,49.6,21.2,29.63,48.85,8.6,39.39,mothbeans
26.4,49.5,20.5,28.57,57.83,4.35,56.27,mothbeans
16.7,43.5,26.6,27.22,47.61,6.54,68.01,mothbeans
18.9,43.1,26.2,30.48,52.07,5.41,68.22,mothbeans
30.3,50.3,20.5,27.93,51.83,7.11,63.38,mothbeans
27.9,43.0,25.9,28.42,55.36,8.34,44.16,mothbeans
24.9,45.3,18.6,28.46,62.96,4.76,52.26,mothbeans
27.1,48.0,22.2,26.27,53.47,5.93,36.08,mothbeans
29.0,51.5,22.6,28.31,56.98,6.99,59.28,mothbeans
24.0,53.0,23.3,28.26,47.21,7.06,46.26,mothbeans
22.9,44.1,19.8,30.83,58.05,8.83,43.33,mothbeans
25.2,42.1,20.8,26.78,57.66,6.32,60.51,mothbeans
27.0,57.1,18.8,29.68,57.28,5.7,60.05,mothbeans
26.1,46.6,20.4,27.04,61.04,6.75,58.37,mothbeans
22.4,44.3,25.2,26.2,50.77,6.79,53.34,mothbeans
24.4,49.1,24.2,28.98,48.39,6.44,61.46,mothbeans
28.0,41.8,23.4,25.36,52.7,8.81,45.39,mothbeans
22.2,50.7,18.6,27.16,54.99,6.06,50.73,mothbeans
27.5,49.3,23.2,27.55,54.04,6.62,55.93,mothbeans
23.3,46.7,20.0,27.95,49.12,5.54,54.44,mothbeans
25.7,50.8,21.4,28.54,54.79,7.23,46.31,mothbeans
25.5,49.0,22.5,25.22,53.17,9.15,49.8,mothbeans
22.6,49.1,23.3,29.59,47.26,7.54,56.93,mothbeans
24.5,48.9,25.1,29.16,47.74,7.64,52.01,mothbeans
25.2,47.8,22.1,29.59,52.15,5.54,49.55,mothbeans
25.6,52.6,24.0,26.87,62.85,7.04,62.07,mothbeans
24.5,49.7,24.6,29.62,56.91,7.69,50.14,mothbeans
23.1,48.9,24.8,27.7,56.94,8.32,45.63,mothbeans
22.2,46.9,23.3,27.3,58.13,7.21,52.8,mothbeans
20.2,42.0,23.2,25.16,56.72,6.58,76.82,mothbeans
32.7,46.7,22.2,29.33,59.6,4.98,39.1,mothbeans
22.9,49.9,23.7,29.43,47.5,4.24,58.94,mothbeans
22.2,39.1,22.9,29.06,51.99,6.25,51.3,mothbeans
23.8,41.9,20.7,28.7,53.84,6.93,45.04,mothbeans
24.4,38.4,22.9,29.91,46.36,6.12,54.97,mothbeans
29.2,45.6,20.8,25.37,52.93,8.96,54.58,mothbeans
24.9,48.8,22.5,26.92,55.93,6.99,52.63,mothbeans
21.7,52.9,24.2,27.26,56.67,6.21,46.63,mothbeans
22.5,40.1,23.7,25.56,47.38,4.5,51.85,mothbeans
24.5,46.1,19.9,26.44,54.43,6.15,54.87,mothbeans
22.0,48.3,25.8,28.78,50.78,7.03,50.7,mothbeans
25.0,46.1,22.1,28.28,48.36,5.65,42.09,mothbeans
19.7,42.4,22.9,26.81,54.64,6.79,37.74,mothbeans
27.2,50.9,20.0,28.56,48.93,6.86,43.02,mothbeans
19.0,45.9,22.2,27.47,47.57,6.32,54.52,mothbeans
24.9,48.3,20.8,29.56,47.6,7.28,61.36,mothbeans
26.6,46.7,21.2,29.38,46.57,5.7,49.52,mothbeans
29.1,49.1,20.1,27.59,49.94,5.98,59.84,mothbeans
20.4,54.2,24.6,29.45,50.57,6.59,41.75,mothbeans
23.3,49.6,25.7,26.52,50.98,6.59,42.03,mothbeans
27.0,44.5,22.0,27.4,49.21,6.74,50.88,mothbeans
23.8,44.5,23.3,30.2,53.08,7.83,42.07,mothbeans
25.5,42.9,18.8,27.01,57.47,7.78,54.32,mothbeans
19.9,46.7,23.3,28.23,44.82,5.79,52.02,mothbeans
26.8,38.3,22.1,28.19,56.04,7.5,56.87,mothbeans
22.3,39.5,21.5,29.34,58.31,7.52,55.72,mothbeans
26.3,45.2,22.2,30.23,48.57,8.5,50.08,mothbeans
29.4,41.6,24.0,27.02,46.6,6.99,60.07,mothbeans
22.2,41.3,22.3,27.88,54.78,7.78,52.05,mothbeans
31.2,48.4,21.6,25.85,51.41,6.39,59.7,mothbeans
26.5,42.6,22.9,28.9,58.87,7.71,58.21,mothbeans
25.2,49.1,25.6,26.22,51.04,5.91,55.34,mothbeans
29.1,45.0,16.5,27.45,56.31,7.33,55.71,mothbeans
24.1,42.2,23.8,26.89,61.6,7.37,48.15,mothbeans
23.0,47.1,21.9,29.49,53.28,5.96,66.68,mothbeans
25.2,50.7,21.0,28.48,53.8,4.7,67.61,mothbeans
29.3,45.8,19.7,28.46,52.86,7.14,53.94,mothbeans
26.7,53.5,23.9,26.6,58.18,8.53,76.14,mothbeans
21.3,48.5,17.3,28.74,50.22,8.83,46.69,mothbeans
19.4,45.5,17.6,29.0,43.9,6.78,36.92,mothbeans
23.9,54.3,23.4,26.85,52.37,6.77,56.04,mothbeans
20.4,50.0,15.7,27.16,50.47,7.44,52.67,mothbeans
20.3,43.4,23.0,27.89,50.09,6.23,57.72,mothbeans
23.3,47.1,27.9,26.1,44.78,7.6,47.41,mothbeans
23.9,44.2,21.9,30.13,55.84,7.68,41.88,mothbeans
21.2,35.7,20.5,29.28,54.65,6.51,52.33,mothbeans
22.7,48.4,24.4,25.85,53.75,7.76,49.39,mothbeans
27.3,59.2,22.2,28.52,49.42,6.95,55.95,mothbeans
25.6,43.3,23.0,29.95,54.37,7.79,50.72,mothbeans
27.5,48.7,20.1,28.42,48.37,6.06,53.92,mothbeans
26.0,42.5,25.1,28.76,49.56,5.08,51.41,mothbeans
23.5,48.0,21.6,25.32,50.88,6.42,57.25,mothbeans
22.7,54.5,17.7,29.75,51.57,7.68,53.1,mothbeans
28.8,45.9,19.8,29.89,52.03,6.99,61.76,mothbeans
21.6,50.0,21.0,27.82,52.8,5.12,46.66,mothbeans
29.5,51.2,22.3,28.32,51.27,8.22,51.0,mothbeans
25.8,52.3,20.6,30.08,46.12,8.52,49.7,mothbeans
24.2,39.6,21.4,26.61,49.97,6.6,59.68,mothbeans
25.7,48.8,19.8,26.83,59.99,5.95,64.92,mothbeans
24.2,47.5,25.2,29.7,52.04,6.33,52.08,mothbeans
26.1,51.2,22.5,28.83,59.33,7.16,54.84,mothbeans
19.9,36.5,23.5,27.87,50.36,7.01,52.05,mothbeans
28.8,47.9,20.6,29.32,51.6,7.32,48.92,mothbeans
22.8,47.9,22.5,28.64,51.38,4.76,49.25,mothbeans
27.6,46.3,21.9,29.32,49.53,5.08,51.3,mothbeans
23.4,43.5,22.1,28.66,52.46,7.08,66.1,mothbeans
23.9,48.7,21.2,26.87,50.06,6.23,55.2,mothbeans
32.8,44.5,21.5,27.92,54.15,7.04,62.13,mothbeans
16.9,37.6,21.3,29.46,45.98,3.5,56.78,mothbeans
25.8,43.0,20.0,28.02,85.18,6.6,49.56,mungbean
15.5,43.9,19.7,28.37,84.1,6.83,39.75,mungbean
25.2,49.8,27.1,28.26,85.54,6.4,37.53,mungbean
27.8,47.5,25.4,27.81,85.87,7.01,49.25,mungbean
25.9,47.5,18.6,29.18,83.98,6.78,40.99,mungbean
21.1,53.5,21.6,29.23,84.87,6.39,51.22,mungbean
23.0,50.4,22.6,27.73,85.27,7.07,49.55,mungbean
24.8,52.0,23.0,28.6,83.18,6.74,51.81,mungbean
22.2,53.4,22.3,28.06,86.66,6.65,50.66,mungbean
24.0,47.3,23.7,28.65,81.67,6.51,51.37,mungbean
24.6,45.3,19.1,27.96,81.63,6.68,45.01,mungbean
21.8,47.2,23.4,29.55,82.48,6.89,51.55,mungbean
22.4,48.3,21.4,28.59,87.52,6.8,49.62,mungbean
23.6,41.3,22.0,29.1,82.45,6.52,48.03,mungbean
21.7,44.2,21.4,27.82,83.38,6.82,42.05,mungbean
19.7,44.9,24.3,28.4,84.23,6.71,40.23,mungbean
26.6,49.1,21.5,29.0,83.12,6.89,48.14,mungbean
23.9,47.4,22.2,29.11,83.21,6.57,51.82,mungbean
23.0,51.3,26.7,28.3,86.14,6.51,50.64,mungbean
25.7,49.5,20.9,27.67,85.84,6.36,46.18,mungbean
28.1,48.3,27.4,29.01,83.91,6.7,47.3,mungbean
19.7,43.6,21.1,27.48,85.08,6.66,40.53,mungbean
26.3,50.5,23.1,28.34,85.99,6.81,48.78,mungbean
22.3,48.7,25.5,28.2,88.5,6.61,47.64,mungbean
22.8,48.4,18.1,28.23,83.18,6.72,51.64,mungbean
27.2,37.6,27.6,28.65,83.71,6.73,48.23,mungbean
22.8,48.3,21.0,28.3,83.86,6.46,48.11,mungbean
27.0,49.6,24.5,28.66,84.11,6.84,41.84,mungbean
22.0,43.5,25.2,28.97,85.81,6.88,43.84,mungbean
26.2,47.0,24.6,28.44,84.36,6.79,51.15,mungbean
22.8,47.2,19.9,27.25,85.33,6.8,48.59,mungbean
18.5,46.0,17.0,29.18,83.19,6.91,51.44,mungbean
22.0,42.8,23.4,28.08,85.17,6.62,40.08,mungbean
17.6,48.4,21.1,28.22,86.16,6.9,46.36,mungbean
23.9,49.6,19.1,28.61,85.92,6.81,39.43,mungbean
22.5,43.8,22.7,28.74,87.49,6.62,45.43,mungbean
28.8,48.7,25.7,28.64,83.07,6.48,41.04,mungbean
27.2,52.5,27.1,28.92,86.94,6.6,42.68,mungbean
27.8,49.2,22.8,28.69,85.54,6.91,52.9,mungbean
26.8,51.0,23.8,28.27,86.26,6.47,51.89,mungbean
21.0,48.7,20.4,28.78,84.94,6.43,49.25,mungbean
23.1,51.2,22.5,28.7,83.4,6.6,45.59,mungbean
27.9,54.5,20.5,29.04,81.38,6.5,43.51,mungbean
20.5,40.9,23.5,28.39,85.63,6.82,48.61,mungbean
27.2,47.2,19.5,29.03,84.02,6.54,46.76,mungbean
22.0,45.8,23.4,28.67,83.5,6.62,51.98,mungbean
26.7,56.1,25.5,29.07,82.69,6.83,47.28,mungbean
23.2,48.2,24.9,28.75,83.54,6.82,44.84,mungbean
25.7,46.2,22.0,28.88,83.27,7.02,39.91,mungbean
23.0,49.0,24.0,28.45,84.9,6.77,46.54,mungbean
29.6,51.0,24.7,28.02,84.87,6.65,43.31,mungbean
26.2,45.3,24.1,27.96,87.87,6.55,48.41,mungbean
27.6,45.1,24.6,27.89,87.42,6.7,45.01,mungbean
24.0,50.9,21.0,28.13,84.63,6.5,55.09,mungbean
23.1,51.0,23.0,28.01,84.99,6.83,46.72,mungbean
29.0,51.8,24.8,28.27,83.2,6.6,48.32,mungbean
26.8,38.5,22.5,28.58,84.54,6.92,49.26,mungbean
29.4,46.6,24.8,29.32,87.19,6.52,46.44,mungbean
23.8,49.5,24.2,28.08,85.11,6.36,53.51,mungbean
23.3,47.7,21.7,29.07,80.27,6.7,47.06,mungbean
23.5,54.7,20.3,28.89,85.59,6.91,44.72,mungbean
22.6,52.1,23.6,27.73,84.1,6.76,50.99,mungbean
22.7,35.4,23.8,27.89,81.64,6.23,50.89,mungbean
25.4,46.6,26.0,28.82,87.69,6.47,47.36,mungbean
19.6,46.5,21.9,28.81,85.08,6.8,50.43,mungbean
32.2,46.2,20.1,28.62,83.66,6.95,46.32,mungbean
23.1,45.5,24.3,28.42,83.93,6.98,43.93,mungbean
25.1,50.2,18.4,28.74,83.24,6.84,43.49,mungbean
27.3,52.1,24.7,28.63,84.61,6.6,53.63,mungbean
22.7,43.2,24.2,28.1,83.42,6.46,45.49,mungbean
24.7,48.5,24.9,28.76,84.68,6.67,49.63,mungbean
29.2,48.0,21.3,28.0,82.59,6.81,49.91,mungbean
26.9,47.0,26.0,28.26,86.59,6.69,44.97,mungbean
27.0,49.2,23.4,28.54,84.94,7.1,52.43,mungbean
27.4,48.0,25.0,28.76,85.04,6.65,47.16,mungbean
14.4,48.4,21.3,29.3,85.03,6.5,47.29,mungbean
21.5,49.5,23.2,28.98,83.68,6.71,41.81,mungbean
27.3,49.7,23.7,28.5,85.69,6.97,46.31,mungbean
25.5,43.0,20.3,28.55,86.84,6.66,46.52,mungbean
23.6,45.3,23.2,27.75,87.13,6.59,50.51,mungbean
20.8,50.3,24.2,28.69,83.34,6.74,42.57,mungbean
24.2,51.8,24.5,28.51,83.38,6.81,47.58,mungbean
17.3,50.8,22.4,29.1,83.17,6.17,48.66,mungbean
26.0,40.5,20.1,29.88,84.49,6.82,44.79,mungbean
18.0,46.8,21.8,28.3,84.81,6.74,46.87,mungbean
20.8,49.5,17.6,27.47,86.23,6.78,47.26,mungbean
20.3,44.6,21.8,27.7,83.77,6.81,53.45,mungbean
23.6,50.7,17.7,28.83,83.66,6.75,46.47,mungbean
29.4,43.9,24.1,28.36,84.74,6.67,43.98,mungbean
25.0,47.2,23.1,28.54,86.33,6.85,43.12,mungbean
27.9,42.6,24.0,28.81,81.81,6.72,45.55,mungbean
22.5,53.1,20.9,28.1,85.13,6.81,46.91,mungbean
28.9,49.7,17.1,28.24,84.06,6.78,36.56,mungbean
33.5,49.7,22.9,29.09,88.91,6.85,51.45,mungbean
25.4,46.9,21.3,28.09,83.85,6.47,47.18,mungbean
19.4,48.3,22.4,28.57,84.13,7.21,53.17,mungbean
20.9,48.5,21.0,27.99,82.77,6.77,44.66,mungbean
28.2,51.6,25.9,28.07,85.79,6.81,45.52,mungbean
22.4,54.2,23.1,28.82,83.63,6.5,45.13,mungbean
24.6,43.1,22.5,27.66,83.13,6.81,50.02,mungbean
43.7,61.6,19.9,29.38,69.11,7.15,66.26,blackgram
41.2,65.9,20.4,29.14,70.81,7.14,67.89,blackgram
40.8,65.7,25.2,29.37,70.88,7.22,71.66,blackgram
46.0,67.0,26.0,30.75,66.25,6.93,68.1,blackgram
40.7,64.5,25.2,26.35,71.34,7.19,66.35,blackgram
46.8,65.0,25.6,31.64,64.0,7.1,66.99,blackgram
45.3,62.6,26.9,31.73,65.65,6.78,66.54,blackgram
46.4,65.8,25.6,31.32,69.92,7.05,64.03,blackgram
44.3,68.5,22.4,30.84,66.7,6.83,67.19,blackgram
46.0,62.8,21.9,28.43,70.3,6.95,71.13,blackgram
50.1,64.7,20.0,26.52,63.82,6.77,70.95,blackgram
45.4,66.3,16.9,28.0,69.72,7.05,67.13,blackgram
46.9,70.5,21.9,30.12,67.98,7.4,62.25,blackgram
47.3,64.6,23.9,28.9,67.38,7.12,75.28,blackgram
47.7,62.2,21.4,29.24,63.01,6.94,69.33,blackgram
40.8,68.5,23.7,28.78,67.15,7.27,69.33,blackgram
45.0,64.2,22.7,29.15,62.24,7.34,67.89,blackgram
46.3,64.8,20.7,29.69,63.5,7.38,64.41,blackgram
41.6,63.5,25.7,30.02,64.41,7.21,69.33,blackgram
46.8,67.4,28.5,33.64,65.78,7.27,68.46,blackgram
46.7,59.4,22.1,28.65,69.57,7.18,62.31,blackgram
44.9,68.7,22.0,31.22,68.38,7.06,66.82,blackgram
40.9,61.3,24.3,30.03,67.15,6.93,66.74,blackgram
48.5,63.9,19.1,31.24,66.99,7.01,71.52,blackgram
44.9,66.0,19.6,29.63,69.02,6.74,68.0,blackgram
45.3,65.1,25.1,30.56,71.2,6.83,67.84,blackgram
45.3,61.4,24.9,33.87,67.46,7.08,67.71,blackgram
42.6,58.9,20.7,27.68,71.76,6.98,66.64,blackgram
48.0,61.3,20.6,30.11,70.07,7.08,68.12,blackgram
45.3,66.3,23.0,28.28,67.62,6.82,67.7,blackgram
43.4,73.5,22.4,27.66,67.16,7.09,71.68,blackgram
43.0,59.7,24.5,27.7,66.41,6.96,67.33,blackgram
47.3,62.7,21.8,29.98,67.87,7.02,68.59,blackgram
47.8,66.3,23.6,27.36,67.63,7.08,69.32,blackgram
42.7,62.8,21.1,30.89,70.08,6.93,69.77,blackgram
45.4,64.6,22.0,31.24,68.31,7.38,65.37,blackgram
46.7,63.2,20.3,29.98,67.84,7.49,67.04,blackgram
41.2,65.9,17.3,29.85,67.54,7.13,69.93,blackgram
43.3,64.5,20.6,28.12,68.27,6.79,66.46,blackgram
41.7,66.8,27.0,27.83,62.87,6.98,67.54,blackgram
45.7,63.5,22.0,30.61,70.1,6.67,66.58,blackgram
45.7,61.9,26.8,28.94,67.4,7.09,66.02,blackgram
38.8,63.6,25.1,29.44,65.38,7.15,66.67,blackgram
43.3,65.5,24.4,33.97,69.57,7.19,66.24,blackgram
41.6,65.2,22.8,28.2,67.06,7.07,68.4,blackgram
46.7,66.0,21.2,29.14,64.5,7.3,67.53,blackgram
44.3,61.9,29.8,28.21,66.43,7.07,69.0,blackgram
48.2,71.0,23.8,28.24,66.86,7.05,72.67,blackgram
40.3,69.0,22.9,31.4,67.25,6.86,69.38,blackgram
47.2,68.2,22.5,29.0,63.6,7.14,68.56,blackgram
41.8,63.2,21.3,27.53,65.46,6.81,66.47,blackgram
42.5,59.6,27.6,32.09,65.55,7.05,68.54,blackgram
49.0,62.3,25.2,29.09,64.16,7.12,70.73,blackgram
53.6,61.0,24.2,29.32,69.46,6.75,64.34,blackgram
42.4,65.3,20.9,31.1,70.07,7.1,71.55,blackgram
46.4,60.9,25.9,28.99,69.78,7.26,68.64,blackgram
40.0,61.9,25.8,29.72,67.7,7.13,69.24,blackgram
45.9,64.3,21.7,31.43,68.88,6.96,70.21,blackgram
44.6,62.2,20.6,28.37,66.82,7.21,65.49,blackgram
45.6,62.8,21.8,27.48,66.95,6.97,68.85,blackgram
45.7,61.0,25.2,30.35,68.0,7.0,66.21,blackgram
45.7,66.6,18.1,29.1,66.86,7.04,70.48,blackgram
42.4,63.3,21.2,28.66,66.63,7.13,64.87,blackgram
46.4,59.3,21.1,29.45,71.69,6.95,62.0,blackgram
38.3,65.1,24.0,30.63,67.92,7.19,66.15,blackgram
48.0,59.6,20.2,26.99,66.81,6.99,67.79,blackgram
45.2,61.9,22.0,27.5,70.91,6.95,66.28,blackgram
50.3,60.9,19.7,28.17,67.33,7.07,69.35,blackgram
53.6,57.5,24.0,29.07,66.03,6.9,65.23,blackgram
50.6,67.8,22.6,32.25,63.72,6.78,62.06,blackgram
42.7,65.5,22.8,30.25,63.97,7.13,68.1,blackgram
47.4,58.7,23.3,28.02,66.51,7.09,67.73,blackgram
42.2,65.0,18.7,31.92,66.99,7.19,66.18,blackgram
43.3,62.5,24.7,28.82,69.11,6.94,62.56,blackgram
43.1,61.1,22.6,28.02,69.81,6.98,67.06,blackgram
47.2,68.2,22.4,28.71,63.07,6.89,65.96,blackgram
45.4,63.8,24.2,28.98,67.36,7.2,68.35,blackgram
44.8,63.0,20.9,28.58,66.15,7.13,66.95,blackgram
40.5,70.9,23.3,27.66,66.4,7.02,71.76,blackgram
41.3,68.3,26.0,28.95,66.81,6.83,66.99,blackgram
44.9,67.2,25.2,28.75,62.58,7.0,68.23,blackgram
45.8,63.9,22.8,32.53,68.45,6.94,66.25,blackgram
44.4,70.5,22.0,29.97,66.29,7.18,72.4,blackgram
46.5,65.3,22.6,26.03,69.36,7.02,68.57,blackgram
42.6,63.7,21.5,31.7,66.55,7.35,68.58,blackgram
40.7,64.6,20.9,26.34,71.5,7.12,68.83,blackgram
45.6,60.4,21.3,31.4,64.87,6.58,66.93,blackgram
44.5,65.5,24.3,31.06,68.15,7.2,63.7,blackgram
46.7,67.1,19.4,27.5,65.64,6.89,69.38,blackgram
43.0,62.1,21.0,31.86,67.53,6.97,67.22,blackgram
49.3,62.5,25.8,30.35,67.1,7.42,64.86,blackgram
43.8,60.9,24.9,32.82,71.67,7.2,67.01,blackgram
43.8,59.4,27.6,30.78,66.27,7.22,65.07,blackgram
46.4,64.4,24.1,29.89,63.87,7.01,70.12,blackgram
44.9,67.6,19.9,29.96,65.94,7.12,67.58,blackgram
47.3,68.6,24.2,30.46,65.0,7.0,66.17,blackgram
43.9,63.8,20.1,26.74,65.83,7.03,64.13,blackgram
45.1,71.3,25.1,32.74,68.48,7.19,65.69,blackgram
42.9,55.9,25.5,32.57,66.12,6.96,65.62,blackgram
46.3,68.7,18.1,30.68,66.81,7.02,68.65,blackgram
24.4,64.7,22.0,25.94,65.7,6.44,40.76,lentil
23.7,68.0,22.6,25.32,67.94,6.57,45.31,lentil
23.3,56.5,22.1,23.35,65.65,6.37,43.93,lentil
19.1,61.9,23.7,27.43,64.84,6.45,48.17,lentil
22.3,66.2,20.6,25.73,65.25,6.45,42.39,lentil
27.4,71.9,20.0,23.32,65.39,6.53,43.13,lentil
15.6,69.5,24.4,20.51,63.99,6.66,49.83,lentil
28.1,64.4,22.7,23.74,66.88,6.25,42.31,lentil
28.4,64.9,25.9,22.66,64.91,6.25,45.02,lentil
20.1,63.4,18.9,25.39,66.19,6.11,49.45,lentil
33.3,65.2,20.9,29.65,62.8,6.4,45.6,lentil
29.5,66.2,21.3,22.1,64.43,6.23,45.16,lentil
23.1,60.0,25.6,23.0,62.89,6.37,45.23,lentil
19.2,66.1,19.9,27.42,65.87,6.33,42.52,lentil
24.7,67.0,22.4,23.57,65.1,6.3,43.86,lentil
18.0,68.2,23.2,22.45,68.16,6.41,41.55,lentil
27.9,66.3,23.5,23.15,65.75,6.36,46.85,lentil
18.7,63.6,26.8,22.47,63.99,6.33,40.95,lentil
17.6,64.2,22.8,23.89,64.76,6.41,48.41,lentil
24.4,63.1,21.8,25.16,67.35,6.3,45.33,lentil
26.1,61.7,22.6,21.07,62.05,6.46,43.72,lentil
25.7,64.9,20.1,23.91,62.94,6.63,40.48,lentil
24.3,61.5,23.9,23.34,64.14,6.54,45.1,lentil
26.7,61.7,19.0,24.21,64.47,6.5,44.73,lentil
25.7,59.6,27.2,23.67,66.16,6.26,46.03,lentil
20.7,66.5,21.6,24.06,66.16,6.19,42.72,lentil
26.5,72.0,22.2,25.18,64.82,6.72,39.18,lentil
25.3,59.6,16.2,24.59,65.23,6.35,44.65,lentil
35.3,64.1,23.8,22.7,65.49,6.36,43.63,lentil
31.1,68.9,22.8,19.39,64.4,6.85,44.23,lentil
28.7,69.8,23.0,22.32,60.94,6.51,42.28,lentil
25.6,60.8,21.8,24.07,65.45,6.21,48.99,lentil
23.0,59.4,22.2,24.07,65.27,6.63,44.21,lentil
24.6,61.3,24.6,24.37,64.3,6.08,49.81,lentil
20.9,63.0,23.4,21.61,62.51,6.05,47.4,lentil
23.2,74.8,20.0,22.16,64.06,6.44,43.43,lentil
27.0,61.7,19.0,20.4,61.29,6.31,44.0,lentil
22.9,69.1,25.6,23.33,62.01,6.31,43.0,lentil
22.8,62.7,20.9,23.23,63.94,6.43,46.2,lentil
22.0,69.2,20.0,20.76,65.63,6.26,46.07,lentil
17.0,69.6,24.2,21.0,62.54,6.68,42.54,lentil
